Area	Consumption Segment	Country	Measure Names	"Sector, Category or Product"	Measure Values
Rural	Middle	Bolivia	US$	Energy	8.290954029
Rural	Middle	Bolivia	$PPP	Energy	18.45736815
Rural	Middle	Bolivia	Local Currency	Energy	58.17762442
Rural	Lowest	Bolivia	US$	Energy	12.26955148
Rural	Lowest	Bolivia	$PPP	Energy	27.31454402
Rural	Lowest	Bolivia	Local Currency	Energy	86.09544276
Rural	Low	Bolivia	US$	Energy	32.23889996
Rural	Low	Bolivia	$PPP	Energy	71.7704191
Rural	Low	Bolivia	Local Currency	Energy	226.220361
Rural	All	Bolivia	US$	Energy	52.79940547
Rural	All	Bolivia	$PPP	Energy	117.5423313
Rural	All	Bolivia	Local Currency	Energy	370.4934281
Urban	Higher	Bolivia	US$	Energy	42.63640989
Urban	Higher	Bolivia	$PPP	Energy	94.91741377
Urban	Higher	Bolivia	Local Currency	Energy	299.1796882
Urban	Middle	Bolivia	US$	Energy	159.574112
Urban	Middle	Bolivia	$PPP	Energy	355.2447793
Urban	Middle	Bolivia	Local Currency	Energy	1119.731544
Urban	Lowest	Bolivia	US$	Energy	8.553396664
Urban	Lowest	Bolivia	$PPP	Energy	19.04161941
Urban	Lowest	Bolivia	Local Currency	Energy	60.01918439
Urban	Low	Bolivia	US$	Energy	148.7691928
Urban	Low	Bolivia	$PPP	Energy	331.1908077
Urban	Low	Bolivia	Local Currency	Energy	1043.913426
Urban	All	Bolivia	US$	Energy	359.5331114
Urban	All	Bolivia	$PPP	Energy	800.3946201
Urban	All	Bolivia	Local Currency	Energy	2522.843843
National	Higher	Bosnia and Herzegovina	US$	Energy	508.4678862
National	Higher	Bosnia and Herzegovina	$PPP	Energy	833.5261576
National	Higher	Bosnia and Herzegovina	Local Currency	Energy	751.007068
National	Middle	Bosnia and Herzegovina	US$	Energy	587.4801432
National	Middle	Bosnia and Herzegovina	$PPP	Energy	963.0501349
National	Middle	Bosnia and Herzegovina	Local Currency	Energy	867.7081716
National	Lowest	Bosnia and Herzegovina	US$	Energy	1.639749561
National	Lowest	Bosnia and Herzegovina	$PPP	Energy	2.68802453
National	Lowest	Bosnia and Herzegovina	Local Currency	Energy	2.421910101
National	Low	Bosnia and Herzegovina	US$	Energy	83.8576512
National	Low	Bosnia and Herzegovina	$PPP	Energy	137.466982
National	Low	Bosnia and Herzegovina	Local Currency	Energy	123.8577508
National	All	Bosnia and Herzegovina	US$	Energy	1181.44543
National	All	Bosnia and Herzegovina	$PPP	Energy	1936.731299
National	All	Bosnia and Herzegovina	Local Currency	Energy	1744.9949
Rural	Higher	Bosnia and Herzegovina	US$	Energy	165.1656474
Rural	Higher	Bosnia and Herzegovina	$PPP	Energy	270.754341
Rural	Higher	Bosnia and Herzegovina	Local Currency	Energy	243.9496613
Rural	Middle	Bosnia and Herzegovina	US$	Energy	310.5085796
Rural	Middle	Bosnia and Herzegovina	$PPP	Energy	509.0135096
Rural	Middle	Bosnia and Herzegovina	Local Currency	Energy	458.6211721
Rural	Lowest	Bosnia and Herzegovina	US$	Energy	1.392272213
Rural	Lowest	Bosnia and Herzegovina	$PPP	Energy	2.282337468
Rural	Lowest	Bosnia and Herzegovina	Local Currency	Energy	2.056386058
Rural	Low	Bosnia and Herzegovina	US$	Energy	62.83866925
Rural	Low	Bosnia and Herzegovina	$PPP	Energy	103.0107819
Rural	Low	Bosnia and Herzegovina	Local Currency	Energy	92.81271449
Rural	All	Bosnia and Herzegovina	US$	Energy	539.9051683
Rural	All	Bosnia and Herzegovina	$PPP	Energy	885.0609696
Rural	All	Bosnia and Herzegovina	Local Currency	Energy	797.4399336
Urban	Higher	Bosnia and Herzegovina	US$	Energy	343.3022388
Urban	Higher	Bosnia and Herzegovina	$PPP	Energy	562.7718166
Urban	Higher	Bosnia and Herzegovina	Local Currency	Energy	507.0574068
